model_name,rmse,mae,n_samples,coverage,missing_predictions,train_size,test_size,mean_pred,mean_true,execution_time,timestamp,alpha,beta,gamma
Hybrid Model (CF-focused: 0.6/0.3/0.1),1.590858732207492,1.3376522213283197,228,100.0,0,910,228,3.286479126436945,4.495614035087719,0.3078019618988037,2026-01-14 13:17:21,0.6,0.3,0.1
Hybrid Model (CB-focused: 0.3/0.5/0.2),1.6039290016948622,1.3507105512430546,228,100.0,0,910,228,3.268520250768468,4.495614035087719,0.2841348648071289,2026-01-14 13:17:22,0.3,0.5,0.2
Hybrid Model (Pop-boosted: 0.4/0.3/0.3),1.6093714828813164,1.3525024994052819,228,100.0,0,910,228,3.2444470603442093,4.495614035087719,0.28989696502685547,2026-01-14 13:17:22,0.4,0.3,0.3
Hybrid Model (Balanced: 0.5/0.3/0.2),1.6587969214830223,1.4019453334424334,228,100.0,0,910,228,3.1987132459200556,4.495614035087719,0.2839846611022949,2026-01-14 13:17:21,0.5,0.3,0.2
Weighted CF (click:1/view:0.5/rating:4),3.2543401283475752,3.2026552755825795,694,100.0,0,2776,694,0.9996501207351685,4.202305475504322,0.04290199279785156,2026-01-14 13:17:22,,,
Weighted CF (click:1/view:1/rating:1),3.2543401283475752,3.2026552755825795,694,100.0,0,2776,694,0.9996501207351685,4.202305475504322,0.05195474624633789,2026-01-14 13:17:22,,,
Collaborative Filtering,3.5490566980136258,3.4962108056796226,228,100.0,0,910,228,0.9994032979011536,4.495614035087719,0.031234025955200195,2026-01-14 13:17:21,,,
